"uSeed","l2.dist","Model","N","phi","T","sim.Seed","Rep","sim.Path","sim.File","iter","thin","fit.Path","fit.File"
113315,"Chi2","DAR",100,0.4,100,0,11,"self-sim_dar","sim_uSeed-113315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-11.rds",2000,5,"self-sim_dar","fit_uSeed-113315_iter-2000_thin-5_Rep-11.rds"
123308,"Gaussian","DAR",100,0.4,100,0,12,"self-sim_dar","sim_uSeed-123308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-12.rds",2000,5,"self-sim_dar","fit_uSeed-123308_iter-2000_thin-5_Rep-12.rds"
123315,"Chi2","DAR",100,0.4,100,0,12,"self-sim_dar","sim_uSeed-123315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-12.rds",2000,5,"self-sim_dar","fit_uSeed-123315_iter-2000_thin-5_Rep-12.rds"
133308,"Gaussian","DAR",100,0.4,100,0,13,"self-sim_dar","sim_uSeed-133308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-13.rds",2000,5,"self-sim_dar","fit_uSeed-133308_iter-2000_thin-5_Rep-13.rds"
133315,"Chi2","DAR",100,0.4,100,0,13,"self-sim_dar","sim_uSeed-133315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-13.rds",2000,5,"self-sim_dar","fit_uSeed-133315_iter-2000_thin-5_Rep-13.rds"
143308,"Gaussian","DAR",100,0.4,100,0,14,"self-sim_dar","sim_uSeed-143308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-14.rds",2000,5,"self-sim_dar","fit_uSeed-143308_iter-2000_thin-5_Rep-14.rds"
143315,"Chi2","DAR",100,0.4,100,0,14,"self-sim_dar","sim_uSeed-143315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-14.rds",2000,5,"self-sim_dar","fit_uSeed-143315_iter-2000_thin-5_Rep-14.rds"
153308,"Gaussian","DAR",100,0.4,100,0,15,"self-sim_dar","sim_uSeed-153308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-15.rds",2000,5,"self-sim_dar","fit_uSeed-153308_iter-2000_thin-5_Rep-15.rds"
153315,"Chi2","DAR",100,0.4,100,0,15,"self-sim_dar","sim_uSeed-153315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-15.rds",2000,5,"self-sim_dar","fit_uSeed-153315_iter-2000_thin-5_Rep-15.rds"
163308,"Gaussian","DAR",100,0.4,100,0,16,"self-sim_dar","sim_uSeed-163308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-16.rds",2000,5,"self-sim_dar","fit_uSeed-163308_iter-2000_thin-5_Rep-16.rds"
163315,"Chi2","DAR",100,0.4,100,0,16,"self-sim_dar","sim_uSeed-163315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-16.rds",2000,5,"self-sim_dar","fit_uSeed-163315_iter-2000_thin-5_Rep-16.rds"
173308,"Gaussian","DAR",100,0.4,100,0,17,"self-sim_dar","sim_uSeed-173308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-17.rds",2000,5,"self-sim_dar","fit_uSeed-173308_iter-2000_thin-5_Rep-17.rds"
173315,"Chi2","DAR",100,0.4,100,0,17,"self-sim_dar","sim_uSeed-173315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-17.rds",2000,5,"self-sim_dar","fit_uSeed-173315_iter-2000_thin-5_Rep-17.rds"
183308,"Gaussian","DAR",100,0.4,100,0,18,"self-sim_dar","sim_uSeed-183308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-18.rds",2000,5,"self-sim_dar","fit_uSeed-183308_iter-2000_thin-5_Rep-18.rds"
183315,"Chi2","DAR",100,0.4,100,0,18,"self-sim_dar","sim_uSeed-183315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-18.rds",2000,5,"self-sim_dar","fit_uSeed-183315_iter-2000_thin-5_Rep-18.rds"
193308,"Gaussian","DAR",100,0.4,100,0,19,"self-sim_dar","sim_uSeed-193308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-19.rds",2000,5,"self-sim_dar","fit_uSeed-193308_iter-2000_thin-5_Rep-19.rds"
193315,"Chi2","DAR",100,0.4,100,0,19,"self-sim_dar","sim_uSeed-193315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-19.rds",2000,5,"self-sim_dar","fit_uSeed-193315_iter-2000_thin-5_Rep-19.rds"
203308,"Gaussian","DAR",100,0.4,100,0,20,"self-sim_dar","sim_uSeed-203308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-20.rds",2000,5,"self-sim_dar","fit_uSeed-203308_iter-2000_thin-5_Rep-20.rds"
203315,"Chi2","DAR",100,0.4,100,0,20,"self-sim_dar","sim_uSeed-203315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-20.rds",2000,5,"self-sim_dar","fit_uSeed-203315_iter-2000_thin-5_Rep-20.rds"
213308,"Gaussian","DAR",100,0.4,100,0,21,"self-sim_dar","sim_uSeed-213308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-21.rds",2000,5,"self-sim_dar","fit_uSeed-213308_iter-2000_thin-5_Rep-21.rds"
213315,"Chi2","DAR",100,0.4,100,0,21,"self-sim_dar","sim_uSeed-213315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-21.rds",2000,5,"self-sim_dar","fit_uSeed-213315_iter-2000_thin-5_Rep-21.rds"
223308,"Gaussian","DAR",100,0.4,100,0,22,"self-sim_dar","sim_uSeed-223308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-22.rds",2000,5,"self-sim_dar","fit_uSeed-223308_iter-2000_thin-5_Rep-22.rds"
223315,"Chi2","DAR",100,0.4,100,0,22,"self-sim_dar","sim_uSeed-223315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-22.rds",2000,5,"self-sim_dar","fit_uSeed-223315_iter-2000_thin-5_Rep-22.rds"
233308,"Gaussian","DAR",100,0.4,100,0,23,"self-sim_dar","sim_uSeed-233308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-23.rds",2000,5,"self-sim_dar","fit_uSeed-233308_iter-2000_thin-5_Rep-23.rds"
233315,"Chi2","DAR",100,0.4,100,0,23,"self-sim_dar","sim_uSeed-233315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-23.rds",2000,5,"self-sim_dar","fit_uSeed-233315_iter-2000_thin-5_Rep-23.rds"
243308,"Gaussian","DAR",100,0.4,100,0,24,"self-sim_dar","sim_uSeed-243308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-24.rds",2000,5,"self-sim_dar","fit_uSeed-243308_iter-2000_thin-5_Rep-24.rds"
243315,"Chi2","DAR",100,0.4,100,0,24,"self-sim_dar","sim_uSeed-243315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-24.rds",2000,5,"self-sim_dar","fit_uSeed-243315_iter-2000_thin-5_Rep-24.rds"
253308,"Gaussian","DAR",100,0.4,100,0,25,"self-sim_dar","sim_uSeed-253308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-25.rds",2000,5,"self-sim_dar","fit_uSeed-253308_iter-2000_thin-5_Rep-25.rds"
253315,"Chi2","DAR",100,0.4,100,0,25,"self-sim_dar","sim_uSeed-253315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-25.rds",2000,5,"self-sim_dar","fit_uSeed-253315_iter-2000_thin-5_Rep-25.rds"
263308,"Gaussian","DAR",100,0.4,100,0,26,"self-sim_dar","sim_uSeed-263308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-26.rds",2000,5,"self-sim_dar","fit_uSeed-263308_iter-2000_thin-5_Rep-26.rds"
263315,"Chi2","DAR",100,0.4,100,0,26,"self-sim_dar","sim_uSeed-263315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-26.rds",2000,5,"self-sim_dar","fit_uSeed-263315_iter-2000_thin-5_Rep-26.rds"
273308,"Gaussian","DAR",100,0.4,100,0,27,"self-sim_dar","sim_uSeed-273308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-27.rds",2000,5,"self-sim_dar","fit_uSeed-273308_iter-2000_thin-5_Rep-27.rds"
273315,"Chi2","DAR",100,0.4,100,0,27,"self-sim_dar","sim_uSeed-273315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-27.rds",2000,5,"self-sim_dar","fit_uSeed-273315_iter-2000_thin-5_Rep-27.rds"
283308,"Gaussian","DAR",100,0.4,100,0,28,"self-sim_dar","sim_uSeed-283308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-28.rds",2000,5,"self-sim_dar","fit_uSeed-283308_iter-2000_thin-5_Rep-28.rds"
283315,"Chi2","DAR",100,0.4,100,0,28,"self-sim_dar","sim_uSeed-283315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-28.rds",2000,5,"self-sim_dar","fit_uSeed-283315_iter-2000_thin-5_Rep-28.rds"
293308,"Gaussian","DAR",100,0.4,100,0,29,"self-sim_dar","sim_uSeed-293308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-29.rds",2000,5,"self-sim_dar","fit_uSeed-293308_iter-2000_thin-5_Rep-29.rds"
293315,"Chi2","DAR",100,0.4,100,0,29,"self-sim_dar","sim_uSeed-293315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-29.rds",2000,5,"self-sim_dar","fit_uSeed-293315_iter-2000_thin-5_Rep-29.rds"
303308,"Gaussian","DAR",100,0.4,100,0,30,"self-sim_dar","sim_uSeed-303308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-30.rds",2000,5,"self-sim_dar","fit_uSeed-303308_iter-2000_thin-5_Rep-30.rds"
303315,"Chi2","DAR",100,0.4,100,0,30,"self-sim_dar","sim_uSeed-303315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-30.rds",2000,5,"self-sim_dar","fit_uSeed-303315_iter-2000_thin-5_Rep-30.rds"
313308,"Gaussian","DAR",100,0.4,100,0,31,"self-sim_dar","sim_uSeed-313308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-31.rds",2000,5,"self-sim_dar","fit_uSeed-313308_iter-2000_thin-5_Rep-31.rds"
313315,"Chi2","DAR",100,0.4,100,0,31,"self-sim_dar","sim_uSeed-313315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-31.rds",2000,5,"self-sim_dar","fit_uSeed-313315_iter-2000_thin-5_Rep-31.rds"
323308,"Gaussian","DAR",100,0.4,100,0,32,"self-sim_dar","sim_uSeed-323308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-32.rds",2000,5,"self-sim_dar","fit_uSeed-323308_iter-2000_thin-5_Rep-32.rds"
323315,"Chi2","DAR",100,0.4,100,0,32,"self-sim_dar","sim_uSeed-323315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-32.rds",2000,5,"self-sim_dar","fit_uSeed-323315_iter-2000_thin-5_Rep-32.rds"
333308,"Gaussian","DAR",100,0.4,100,0,33,"self-sim_dar","sim_uSeed-333308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-33.rds",2000,5,"self-sim_dar","fit_uSeed-333308_iter-2000_thin-5_Rep-33.rds"
333315,"Chi2","DAR",100,0.4,100,0,33,"self-sim_dar","sim_uSeed-333315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-33.rds",2000,5,"self-sim_dar","fit_uSeed-333315_iter-2000_thin-5_Rep-33.rds"
343308,"Gaussian","DAR",100,0.4,100,0,34,"self-sim_dar","sim_uSeed-343308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-34.rds",2000,5,"self-sim_dar","fit_uSeed-343308_iter-2000_thin-5_Rep-34.rds"
343315,"Chi2","DAR",100,0.4,100,0,34,"self-sim_dar","sim_uSeed-343315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-34.rds",2000,5,"self-sim_dar","fit_uSeed-343315_iter-2000_thin-5_Rep-34.rds"
353308,"Gaussian","DAR",100,0.4,100,0,35,"self-sim_dar","sim_uSeed-353308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-35.rds",2000,5,"self-sim_dar","fit_uSeed-353308_iter-2000_thin-5_Rep-35.rds"
353315,"Chi2","DAR",100,0.4,100,0,35,"self-sim_dar","sim_uSeed-353315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-35.rds",2000,5,"self-sim_dar","fit_uSeed-353315_iter-2000_thin-5_Rep-35.rds"
363308,"Gaussian","DAR",100,0.4,100,0,36,"self-sim_dar","sim_uSeed-363308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-36.rds",2000,5,"self-sim_dar","fit_uSeed-363308_iter-2000_thin-5_Rep-36.rds"
363315,"Chi2","DAR",100,0.4,100,0,36,"self-sim_dar","sim_uSeed-363315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-36.rds",2000,5,"self-sim_dar","fit_uSeed-363315_iter-2000_thin-5_Rep-36.rds"
373308,"Gaussian","DAR",100,0.4,100,0,37,"self-sim_dar","sim_uSeed-373308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-37.rds",2000,5,"self-sim_dar","fit_uSeed-373308_iter-2000_thin-5_Rep-37.rds"
373315,"Chi2","DAR",100,0.4,100,0,37,"self-sim_dar","sim_uSeed-373315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-37.rds",2000,5,"self-sim_dar","fit_uSeed-373315_iter-2000_thin-5_Rep-37.rds"
